Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"a = sendRequest(findTestObject(""ITSupporter/20GetIsOnline""))",,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.051s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.001s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.021s,PASSED
,,,,,,
Test Cases/ITSupporter/21GetIsBusy,,,2019-02-18 17:13:33,2019-02-18 17:13:34,0.231s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/21GetIsBusy""))",,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.047s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:33,2019-02-18 17:13:33,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:33,2019-02-18 17:13:34,0.023s,PASSED
,,,,,,
Test Cases/ITSupporter/22UpdateIsBusyFalse,,,2019-02-18 17:13:34,2019-02-18 17:13:34,0.347s,FAILED
"a = sendRequest(findTestObject(""ITSupporter/22UpdateIsBusyFalse""))",,,2019-02-18 17:13:34,2019-02-18 17:13:34,0.144s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:34,2019-02-18 17:13:34,0.001s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:34,2019-02-18 17:13:34,0.023s,FAILED
,,,,,,
Test Cases/ITSupporter/23ViewAllFeedBack,,,2019-02-18 17:13:34,2019-02-18 17:13:34,0.273s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/23ViewAllFeedBack""))",,,2019-02-18 17:13:34,2019-02-18 17:13:34,0.096s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:34,2019-02-18 17:13:34,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:34,2019-02-18 17:13:34,0.019s,PASSED
,,,,,,
Test Cases/ITSupporter/24CheckDeviceInfoByCode1,,,2019-02-18 17:13:34,2019-02-18 17:13:35,0.441s,PASSED
"a = sendRequest(findTestObject(""ITSupporter/24CheckDeviceInfoByCode""))",,,2019-02-18 17:13:34,2019-02-18 17:13:35,0.239s,PASSED
"verifyResponseStatusCode(a, 200)",,,2019-02-18 17:13:35,2019-02-18 17:13:35,0.002s,PASSED
"verifyElementPropertyValue(a, ""IsError"", false)",,,2019-02-18 17:13:35,2019-02-18 17:13:35,0.021s,PASSED
