Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"verifyElementPropertyValue(a, ""ObjReturn[0].AgencyName"", ""The Coffee House - Chi nhánh số 1"")",,,2019-02-13 17:11:20,2019-02-13 17:11:20,0.128s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[0].AgencyAddress"", ""88 Ngô Tất Tố, Quận Bình Thạnh"")",,,2019-02-13 17:11:20,2019-02-13 17:11:20,0.026s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].RequestCategoryId"", 3)",,,2019-02-13 17:11:20,2019-02-13 17:11:20,0.034s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].ServiceId"", 1)",,,2019-02-13 17:11:20,2019-02-13 17:11:20,0.033s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].ServiceName"", ""WIFI"")",,,2019-02-13 17:11:20,2019-02-13 17:11:20,0.042s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].ServiceItemId"", 7)",,,2019-02-13 17:11:20,2019-02-13 17:11:20,0.136s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].ServiceItemName"", ""Wifi mất kết nối"")",,,2019-02-13 17:11:20,2019-02-13 17:11:20,0.032s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].RequestName"", ""The Coffee House - Chi nhánh số 1 - Wifi mất kết nối"")",,,2019-02-13 17:11:20,2019-02-13 17:11:20,0.108s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].RequestDesciption"", ""njnj"")",,,2019-02-13 17:11:20,2019-02-13 17:11:21,0.071s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].AgencyTelephone"", ""0397934468"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.021s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].CreateDate"", ""12:46 17/01/2019"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.077s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].UpdateDate"", ""16:21 17/01/2019"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.029s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].StartTime"", ""10:47 16/01/2019"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.026s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].EndTime"", ""11:46 16/01/2019"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.036s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].RequestStatus"", ""Tạo mới"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.040s,PASSED
"verifyElementPropertyValue(a, ""ObjReturn[0].RequestStatusValue"", 5)",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.032s,FAILED
"verifyElementPropertyValue(a, ""ObjReturn[0].RequestEstimationTime"", ""18:46 17/01/2019"")",,,2019-02-13 17:11:21,2019-02-13 17:11:21,0.035s,FAILED
